STATE = 4	09:34	 SOC = 511.984375	Ps = 0.000000	Pl = 807.419983	Ppv = 1198.199951	Pb = 0.000000	Plsec = 859.375000	Ibat = -102.000000	Ubat = 60.078125	Iac_in = 21.406250	Uac = 237.000000
STATE = 4	09:34	 SOC = 511.984375	Ps = 0.000000	Pl = 796.789978	Ppv = 1200.309937	Pb = 390.779968	Plsec = 875.000000	Ibat = -12.000000	Ubat = 58.953125	Iac_in = 3.093750	Uac = 243.000000
STATE = 4	09:35	 SOC = 511.984375	Ps = 0.000000	Pl = 796.789978	Ppv = 1202.859985	Pb = 403.519958	Plsec = 781.250000	Ibat = 0.000000	Ubat = 60.156250	Iac_in = 3.093750	Uac = 235.000000
STATE = 4	09:35	 SOC = 511.984375	Ps = 0.000000	Pl = 796.789978	Ppv = 1202.859985	Pb = 406.070007	Plsec = 843.750000	Ibat = 0.000000	Ubat = 60.156250	Iac_in = 2.843750	Uac = 234.000000
STATE = 4	09:35	 SOC = 511.984375	Ps = 0.000000	Pl = 796.789978	Ppv = 1202.859985	Pb = 406.070007	Plsec = 781.250000	Ibat = 0.000000	Ubat = 60.250000	Iac_in = 3.093750	Uac = 235.000000
STATE = 4	09:39	 SOC = 511.984375	Ps = 0.000000	Pl = 0.000000	Ppv = 1092.479980	Pb = 1092.479980	Plsec = 812.500000	Ibat = -16.000000	Ubat = 58.437500	Iac_in = 2.843750	Uac = 242.000000
STATE = 4	09:39	 SOC = 511.984375	Ps = 0.000000	Pl = 763.950012	Ppv = 1429.939941	Pb = 328.529968	Plsec = 781.250000	Ibat = 0.000000	Ubat = 59.734375	Iac_in = 2.843750	Uac = 235.000000
STATE = 4	09:40	 SOC = 511.984375	Ps = 0.000000	Pl = 763.950012	Ppv = 1444.020020	Pb = 665.989929	Plsec = 781.250000	Ibat = 0.000000	Ubat = 59.812500	Iac_in = 2.843750	Uac = 235.000000
STATE = 4	09:40	 SOC = 511.984375	Ps = 0.000000	Pl = 763.950012	Ppv = 1457.729980	Pb = 680.070007	Plsec = 781.250000	Ibat = 0.000000	Ubat = 59.812500	Iac_in = 2.843750	Uac = 235.000000
STATE = 4	09:40	 SOC = 511.984375	Ps = 0.000000	Pl = 763.950012	Ppv = 1457.729980	Pb = 693.779968	Plsec = 843.750000	Ibat = 0.000000	Ubat = 59.906250	Iac_in = 3.093750	Uac = 235.000000
STATE = 4	09:40	 SOC = 511.984375	Ps = 0.000000	Pl = 763.950012	Ppv = 1469.189941	Pb = 693.779968	Plsec = 843.750000	Ibat = -11.000000	Ubat = 59.906250	Iac_in = 0.515625	Uac = 235.000000
STATE = 4	09:40	 SOC = 511.984375	Ps = 0.000000	Pl = 763.950012	Ppv = 1490.829956	Pb = 705.239929	Plsec = 843.750000	Ibat = -12.000000	Ubat = 59.812500	Iac_in = 0.515625	Uac = 236.000000
STATE = 4	09:40	 SOC = 511.984375	Ps = 0.000000	Pl = 763.950012	Ppv = 1490.829956	Pb = 726.879944	Plsec = 843.750000	Ibat = -12.000000	Ubat = 59.812500	Iac_in = 0.265625	Uac = 236.000000
STATE = 4	09:41	 SOC = 511.984375	Ps = 0.000000	Pl = 763.950012	Ppv = 1511.059937	Pb = 726.879944	Plsec = 843.750000	Ibat = -12.000000	Ubat = 59.812500	Iac_in = 0.265625	Uac = 236.000000
STATE = 4	09:41	 SOC = 511.984375	Ps = 0.000000	Pl = 763.950012	Ppv = 1525.300049	Pb = 747.109924	Plsec = 843.750000	Ibat = -12.000000	Ubat = 59.812500	Iac_in = 0.515625	Uac = 236.000000
STATE = 4	09:41	 SOC = 511.984375	Ps = 0.000000	Pl = 773.969971	Ppv = 1548.719971	Pb = 761.350037	Plsec = 796.875000	Ibat = -12.000000	Ubat = 59.812500	Iac_in = 0.265625	Uac = 236.000000
